index,Entity,Code,Year,Prevalence in Males,Prevalence in Females,Population (historical estimates),Continent
26,Afghanistan,AFG,2015,1.58195569826,0.692680852411,34413603.0,Asia
545,Albania,ALB,2015,1.42991066639,0.594459046863,2890524.0,Europe
804,Algeria,DZA,2015,1.6549170404300002,0.714541283357,39728020.0,Africa
1063,American Samoa,ASM,2015,1.26639874093,0.5270424859189999,55806.0,Oceania
1205,Andorra,AND,2015,1.51070689551,0.54036045065,77993.0,Europe
1464,Angola,AGO,2015,1.9031850982000005,0.830648503601,27884380.0,Africa
1845,Antigua and Barbuda,ATG,2015,3.16451973896,1.26477087647,93571.0,North America
2104,Argentina,ARG,2015,1.9963198615,1.33067383454,43075416.0,South America
2363,Armenia,ARM,2015,1.43230249315,0.596033882114,2925559.0,Asia
3015,Australia,AUS,2015,3.64145435709,1.43331735462,23932499.0,Oceania
3274,Austria,AUT,2015,1.50527781456,0.540857256233,8678667.0,Europe
3534,Azerbaijan,AZE,2015,1.43595900674,0.595042755359,9622741.0,Asia
3794,Bahamas,BHS,2015,3.20371077107,1.273765091,374200.0,North America
4052,Bahrain,BHR,2015,1.63129903229,0.701321374328,1371853.0,Asia
4311,Bangladesh,BGD,2015,0.790368926498,0.335687713662,156256287.0,Asia
4570,Barbados,BRB,2015,3.21684163802,1.27602079469,285327.0,North America
4822,Belarus,BLR,2015,1.46184489038,0.606672144544,9439424.0,Europe
5081,Belgium,BEL,2015,1.52535648969,0.543278463312,11287931.0,Europe
5340,Belize,BLZ,2015,3.1628126287,1.2604531716099998,360926.0,North America
5599,Benin,BEN,2015,1.89098457225,0.860138441001,10575962.0,Africa
5858,Bermuda,BMU,2015,3.2344329980600004,1.28421238711,63695.0,North America
5930,Bhutan,BTN,2015,0.6565548052569999,0.273659297769,727885.0,Asia
6189,Bolivia,BOL,2015,1.97173394872,0.842553368126,10869732.0,South America
6520,Bosnia and Herzegovina,BIH,2015,1.4321108902600002,0.595566398072,3429362.0,Europe
6779,Botswana,BWA,2015,1.9447826912,0.845330143122,2120716.0,Africa
7039,Brazil,BRA,2015,1.84282494955,0.8134619900519999,204471759.0,South America
7371,Brunei,BRN,2015,1.00857809304,0.331327859922,414914.0,Asia
7630,Bulgaria,BGR,2015,1.43990499481,0.595219771343,7199739.0,Europe
7889,Burkina Faso,BFA,2015,1.88142634451,0.855173260391,18110616.0,Africa
8148,Burundi,BDI,2015,1.91183241216,0.8329467940490001,10160034.0,Africa
8407,Cambodia,KHM,2015,0.80112053677,0.373449886585,15521435.0,Asia
8666,Cameroon,CMR,2015,1.9020200766,0.863346081005,23298376.0,Africa
8925,Canada,CAN,2015,2.05681142197,0.710529237773,36026668.0,North America
9184,Cape Verde,CPV,2015,1.98245395569,0.880131832026,524740.0,Africa
9517,Central African Republic,CAF,2015,1.88810037373,0.825839217888,4493171.0,Africa
9916,Chad,TCD,2015,1.88809048685,0.858057465754,14110971.0,Africa
10247,Chile,CHL,2015,1.98503017908,1.33343713039,17969356.0,South America
10506,China,CHN,2015,2.16926818969,0.8837572913899999,1406847868.0,Asia
10767,Colombia,COL,2015,1.40309696446,0.740433938176,47520667.0,South America
11026,Comoros,COM,2015,1.93144302329,0.8382450373879999,777435.0,Africa
11266,Congo,COG,2015,1.90460016524,0.8304479109490001,4856093.0,Africa
11597,Costa Rica,CRI,2015,1.37464757308,0.607409901303,4847805.0,North America
11856,Cote d'Ivoire,CIV,2015,1.8951582759,0.8610843691440001,23226148.0,Africa
12115,Croatia,HRV,2015,1.45203258347,0.603194106911,4232874.0,Europe
12374,Cuba,CUB,2015,3.23089995281,1.2740810773,11324777.0,North America
12705,Cyprus,CYP,2015,1.49716878706,0.534947683189,1160987.0,Europe
12964,Czechia,CZE,2015,1.45933432476,0.601291905274,10601390.0,Europe
13224,Democratic Republic of Congo,COD,2015,1.88573291921,0.825952733649,76244532.0,Africa
13483,Denmark,DNK,2015,1.57657726225,0.7503318559719999,5688695.0,Europe
13742,Djibouti,DJI,2015,1.9505453548,0.8412474358280001,913998.0,Africa
14001,Dominica,DMA,2015,3.17414636861,1.26602969999,71175.0,North America
14255,Dominican Republic,DOM,2015,3.15929593966,1.26208239969,10281675.0,North America
14599,Ecuador,ECU,2015,2.00193673207,0.851438841524,16212022.0,South America
14858,Egypt,EGY,2015,2.19581619854,1.0456682832,92442549.0,Africa
15117,El Salvador,SLV,2015,1.35426676578,0.602524486256,6325121.0,North America
15404,Equatorial Guinea,GNQ,2015,1.91685777062,0.833929848252,1168575.0,Africa
15663,Eritrea,ERI,2015,1.91467827367,0.834512259719,3342818.0,Africa
15923,Estonia,EST,2015,1.48132822189,0.61023783849,1315330.0,Europe
16182,Eswatini,SWZ,2015,1.9253493142,0.8372260679019999,1104038.0,Africa
16441,Ethiopia,ETH,2015,1.92278750979,0.836103789245,100835453.0,Africa
17182,Fiji,FJI,2015,1.25290309283,0.522015912683,868632.0,Oceania
17432,Finland,FIN,2015,2.47547379996,0.544033747868,5481128.0,Europe
17691,France,FRA,2015,1.58193854374,0.573261816728,64453194.0,Europe
18145,Gabon,GAB,2015,1.91544846356,0.8337167539720001,1947690.0,Africa
18404,Gambia,GMB,2015,1.89798452383,0.863268717222,2085860.0,Africa
18663,Georgia,GEO,2015,1.44267131735,0.5981410198689999,4024180.0,Asia
18922,Germany,DEU,2015,0.6204589163290001,0.2330309030629999,81787411.0,Europe
19181,Ghana,GHA,2015,1.90074280992,0.8649704596669999,27849203.0,Africa
19512,Greece,GRC,2015,1.50238183841,0.5387970603919999,10659737.0,Europe
19771,Greenland,GRL,2015,1.98735653888,0.724113651552,56378.0,North America
19875,Grenada,GRD,2015,3.17501858627,1.26102460528,109603.0,North America
20258,Guam,GUM,2015,1.27553991126,0.529440407629,161851.0,Oceania
